Day 1: 3 Positive Personal Qualities,"Even if you don’t think you like any of your qualities, I am sure you are able to find at least 3 (but probably more) that you do! Just sit there and think about it. Why would you want to be your own friend?"
Day 2: I Know I Can,"Write “I Know I Can” over and over again until you’ve filled at least one page (fill as many pages as you need to). I know this may seem tedious and repetitive, but that’s the point. By writing this empowering FACT over and over, you can remind yourself of its truth—it can do no harm. You can and you know that you can."
Day 3: 5 things you accomplished,"Make a list. What are 5 things you have accomplished today? This can be anything. Maybe you overcame a fear or anxiety. Maybe you finished a project at school or work. Or perhaps you got around to doing that yoga or cleaning that you’ve been putting off. Whatever your accomplishments are, list them!"
Day 4: I am proud to be me today because,"Fill in the blank. Why are you proud to be yourself? In what ways are you happy with who you are? Can’t think of anything? Think harder, I know you are proud of yourself for some reason. You are probably just focusing on things you don’t like about yourself. If you stop thinking about what is wrong and start thinking about what is right, you are guaranteed to feel better about yourself!"
Day 5: Take a day off,"Today, step back from journaling and do something for yourself. Empowerment isn’t all about building yourself up; sometimes you also need to take a step back. We lead super busy lives and we are stressed. Take a step back from your day-to-day life and take a bath, go for a walk, get a massage or mani-pedi… anything you can enjoy outside of your daily routine. Sometimes, taking a step out of the ordinary will remind you of all the great qualities you possess."
Day 6: Forgive yourself,"So, you’ve made mistakes. Big deal. We all have. You’re human, it happens. You made a mistake and you’ve learned from it. Now, it’s time to let yourself move on. Sometimes, you have to get forgiveness from those you’ve hurt first.  Do that. Then come to your journal and forgive yourself. Write a letter to yourself asking for forgiveness and another giving forgiveness. This interaction is important. Our biggest critics are always ourselves. It can be so empowering to forgive yourself, it’s as if a weight has lifted. This allows you to move on!"
Day 7: Change something,"Move forward on something you've been wanting to change but were scared to actually do. Keep an ongoing journal on the topic (it doesn’t have to be separate from your current journal, and we will return to the topic later). Start by writing about why you want the change. Talk about why you want it, what it means to you, your fears, your excitement! Write about everything you are feeling about this change. Now that you’ve gotten all your emotions out on the page, you’re probably feeling at least a little better about it. If someone tries to talk you out of wanting this change, stick to your guns.  We will return to this part of the challenge in a few days."
Day 8: 3 things that make you feel beautiful,"Just make a list; you don’t have to stop at three if you think of more! Things that make you feel beautiful can be physical qualities (straightened hair, wearing glasses, and smiling) or other things like sunny days, a smile from a stranger, or taking a day off. There are no limits to what can make you feel beautiful (inside and out)!"
Day 9: Cancel out the negative,"Make a list of negative terms you have heard or thought (either about  yourself or those around you). Have at least 10 words. I know this sounds strange; bear with me. Got your negative descriptors? Great! Now, one by one cross them out, scribble them out, or white them out—whatever you’d like, just make them unreadable. Each time you’ve scribbled out a negative word, replace it with a positive alternative. Negative words are unnecessary, they break you down and make you weak. Find positive words to empower yourself with instead!
"
Day 10: Reflect,Reflecting is such a great practice. Spend today’s journal reflecting on your week—try to stay positive. What were your initial worries? How did you overcome them? What surprised you this week? Is there something you did that you are glad about? What is something you’d like to improve upon next week? Did something make you excited or happy this week?
